param1_crossover,param1_mutation,param2_crossover,param2_mutation,pvalue
0.1,0.2,0.9,0.1,0.315307573448562
0.1,0.2,0.9,0.2,0.6491492933981177
0.1,0.2,0.9,0.3,2.3976045324468745e-10
0.1,0.2,0.9,0.5,5.225196383247281e-23
0.1,0.2,1.0,0.01,1.1900236448621206e-34
0.1,0.2,1.0,0.05,2.889942290325488e-14
0.1,0.2,1.0,0.1,0.04492855809638351
0.1,0.2,1.0,0.2,0.5820325703628322
0.1,0.2,1.0,0.3,2.6444005313495193e-11
0.1,0.2,1.0,0.5,6.661254476082208e-22
0.1,0.3,0.1,0.5,3.665509645539795e-23
0.1,0.3,0.3,0.01,1.0584046430402356e-32
0.1,0.3,0.3,0.05,0.03456042169561531
0.1,0.3,0.3,0.1,2.32309810917945e-07
0.1,0.3,0.3,0.2,1.0232723330857602e-13
0.1,0.3,0.3,0.3,0.11782608356487571
0.1,0.3,0.3,0.5,2.658508410477454e-21
0.1,0.3,0.5,0.01,7.384072203488425e-33
0.1,0.3,0.5,0.05,0.0017923115197019679
0.1,0.3,0.5,0.1,0.00019490952146117364
0.1,0.3,0.5,0.2,3.1619520539530636e-13
0.1,0.3,0.5,0.3,0.112611188723834
0.1,0.3,0.5,0.5,5.80899676953599e-22
0.1,0.3,0.7,0.01,2.0988727079885108e-31
0.1,0.3,0.7,0.05,0.00036835505152612213
0.1,0.3,0.7,0.1,4.2902476704462035e-09
0.1,0.3,0.7,0.2,2.031142163973438e-09
0.1,0.3,0.7,0.3,0.1291095390407425
0.1,0.3,0.7,0.5,9.829918564008036e-22
0.1,0.3,0.9,0.01,1.944858100679695e-33
0.1,0.3,0.9,0.05,0.0001253754733376243
0.1,0.3,0.9,0.1,2.2802935990053556e-05
0.1,0.3,0.9,0.2,4.3574394562995007e-13
0.1,0.3,0.9,0.3,0.23263074613061363
0.1,0.3,0.9,0.5,2.39924622157446e-24
0.1,0.3,1.0,0.01,2.065438229938102e-32
0.1,0.3,1.0,0.05,3.154716820197431e-06
0.1,0.3,1.0,0.1,8.828844722828725e-06
0.1,0.3,1.0,0.2,1.299476624343652e-10
0.1,0.3,1.0,0.3,0.1454011581578871
0.1,0.3,1.0,0.5,9.310712915410719e-23
0.1,0.5,0.3,0.01,3.114088530837307e-23
0.1,0.5,0.3,0.05,0.025428428272106916
0.1,0.5,0.3,0.1,5.424123649502902e-16
0.1,0.5,0.3,0.2,1.2424033520102644e-23
0.1,0.5,0.3,0.3,3.6690466653896223e-25
0.1,0.5,0.3,0.5,0.8491757617379805
0.1,0.5,0.5,0.01,5.479352900114658e-24
0.1,0.5,0.5,0.05,0.11709391083477155
0.1,0.5,0.5,0.1,2.83039291164147e-12
0.1,0.5,0.5,0.2,3.5348258346141178e-22
0.1,0.5,0.5,0.3,1.4150714044037944e-26
0.1,0.5,0.5,0.5,0.7925697063496858
0.1,0.5,0.7,0.01,2.8844364875655883e-22
0.1,0.5,0.7,0.05,0.09608156148604814
0.1,0.5,0.7,0.1,2.534778197747986e-16
0.1,0.5,0.7,0.2,4.388452672699488e-20
0.1,0.5,0.7,0.3,2.394851508731296e-24
0.1,0.5,0.7,0.5,0.9838609470308494
0.1,0.5,0.9,0.01,3.2880242366908693e-24
0.1,0.5,0.9,0.05,0.23089529753689908
0.1,0.5,0.9,0.1,1.5273715911851836e-15
0.1,0.5,0.9,0.2,2.594927160680499e-23
0.1,0.5,0.9,0.3,5.130039332404573e-25
