problemIndex,crossoverProbability,mutationProbability,mean_fitness,std_fitness,problem.optimalValue
0,0.1,0.01,3209.6774193548385,509.4800216623988,3800.0
0,0.1,0.05,3783.8709677419356,37.38782505529829,3800.0
0,0.1,0.1,3800.0,0.0,3800.0
0,0.1,0.2,3800.0,0.0,3800.0
0,0.1,0.3,3800.0,0.0,3800.0
0,0.1,0.5,3800.0,0.0,3800.0
0,0.3,0.01,3225.8064516129034,497.3045625740722,3800.0
0,0.3,0.05,3777.4193548387098,92.04954252775997,3800.0
0,0.3,0.1,3800.0,0.0,3800.0
0,0.3,0.2,3800.0,0.0,3800.0
0,0.3,0.3,3800.0,0.0,3800.0
0,0.3,0.5,3800.0,0.0,3800.0
0,0.5,0.01,3164.516129032258,508.29675525016825,3800.0
0,0.5,0.05,3683.8709677419356,355.0556521575628,3800.0
0,0.5,0.1,3800.0,0.0,3800.0
0,0.5,0.2,3800.0,0.0,3800.0
0,0.5,0.3,3800.0,0.0,3800.0
0,0.5,0.5,3800.0,0.0,3800.0
0,0.7,0.01,3135.483870967742,548.6640666787977,3800.0
0,0.7,0.05,3732.2580645161293,230.05375715861643,3800.0
0,0.7,0.1,3800.0,0.0,3800.0
0,0.7,0.2,3800.0,0.0,3800.0
0,0.7,0.3,3800.0,0.0,3800.0
0,0.7,0.5,3800.0,0.0,3800.0
0,0.9,0.01,3212.9032258064517,529.6174314124432,3800.0
0,0.9,0.05,3748.3870967741937,251.4901823689287,3800.0
0,0.9,0.1,3800.0,0.0,3800.0
0,0.9,0.2,3800.0,0.0,3800.0
0,0.9,0.3,3800.0,0.0,3800.0
0,0.9,0.5,3800.0,0.0,3800.0
0,1.0,0.01,3170.967741935484,502.7879263911687,3800.0
0,1.0,0.05,3593.548387096774,476.0500561012241,3800.0
0,1.0,0.1,3800.0,0.0,3800.0
0,1.0,0.2,3800.0,0.0,3800.0
0,1.0,0.3,3800.0,0.0,3800.0
0,1.0,0.5,3800.0,0.0,3800.0
1,0.1,0.01,7858.567741935483,698.3012727980652,8706.1
1,0.1,0.05,8345.906451612902,207.40568287856223,8706.1
1,0.1,0.1,8424.425806451613,152.5648189409824,8706.1
1,0.1,0.2,8539.316129032257,177.9550993870352,8706.1
1,0.1,0.3,8676.267741935484,93.27550727851633,8706.1
1,0.1,0.5,8686.867741935484,29.85842580240685,8706.1
1,0.3,0.01,7823.958064516129,740.3619109481494,8706.1
1,0.3,0.05,8315.964516129032,340.63579528913,8706.1
1,0.3,0.1,8408.35806451613,148.2742881154017,8706.1
1,0.3,0.2,8583.396774193548,174.0543123737936,8706.1
1,0.3,0.3,8701.893548387097,20.24572276611989,8706.1
1,0.3,0.5,8684.529032258066,36.152705694488,8706.1
1,0.5,0.01,7813.129032258064,662.0442226888616,8706.1
1,0.5,0.05,8338.087096774192,163.1634001891671,8706.1
1,0.5,0.1,8384.53870967742,125.81490552241033,8706.1
1,0.5,0.2,8539.364516129031,186.77067854883305,8706.1
1,0.5,0.3,8704.293548387099,10.057896913499388,8706.1
1,0.5,0.5,8691.067741935485,26.11508359928888,8706.1
1,0.7,0.01,7732.258064516129,800.32122499831,8706.1
1,0.7,0.05,8312.406451612902,295.3789384677291,8706.1
1,0.7,0.1,8394.64193548387,134.16044318698837,8706.1
1,0.7,0.2,8487.587096774194,181.6435937799361,8706.1
1,0.7,0.3,8685.245161290324,72.25810145448371,8706.1
1,0.7,0.5,8680.996774193549,43.375065678113565,8706.1
1,0.9,0.01,7735.512903225806,774.1433548303289,8706.1
1,0.9,0.05,8278.332258064516,395.8009679852544,8706.1
1,0.9,0.1,8396.448387096774,138.03585010416148,8706.1
1,0.9,0.2,8581.66451612903,173.68574024827572,8706.1
1,0.9,0.3,8693.590322580645,66.28306648930621,8706.1
1,0.9,0.5,8691.061290322581,27.417776197440073,8706.1
1,1.0,0.01,7651.783870967742,790.6325307822732,8706.1
1,1.0,0.05,8308.267741935484,290.53798648610115,8706.1
1,1.0,0.1,8428.03870967742,158.60843751709123,8706.1
1,1.0,0.2,8503.635483870969,186.77067854883276,8706.1
1,1.0,0.3,8694.190322580645,66.31027750828541,8706.1
1,1.0,0.5,8689.86129032258,27.129586277953432,8706.1
2,0.1,0.01,3590.3225806451615,345.7140810069089,4015.0
2,0.1,0.05,3883.548387096774,215.22543819751382,4015.0
2,0.1,0.1,4001.935483870968,20.923568025667315,4015.0
2,0.1,0.2,3997.7419354838707,24.86090336510382,4015.0
2,0.1,0.3,3988.2258064516127,30.236522813113925,4015.0
2,0.1,0.5,3893.064516129032,80.35004064876426,4015.0
2,0.3,0.01,3588.8709677419356,346.5056749833961,4015.0
2,0.3,0.05,3876.935483870968,244.53247030253073,4015.0
2,0.3,0.1,3992.9032258064517,46.93566862469655,4015.0
2,0.3,0.2,4009.8387096774195,8.112117578838777,4015.0
2,0.3,0.3,3992.4193548387098,30.683083497315298,4015.0
2,0.3,0.5,3875.8064516129034,57.96689822927033,4015.0
2,0.5,0.01,3580.0,304.62818867158927,4015.0
2,0.5,0.05,3893.3870967741937,194.5909688585015,4015.0
2,0.5,0.1,3992.0967741935483,42.0272569005002,4015.0
2,0.5,0.2,4004.1935483870966,22.289637883762193,4015.0
2,0.5,0.3,3982.5806451612902,46.4196612033796,4015.0
2,0.5,0.5,3880.1612903225805,72.63474686135353,4015.0
2,0.7,0.01,3605.8064516129034,286.4352654446071,4015.0
2,0.7,0.05,3907.5806451612902,136.01391453169995,4015.0
2,0.7,0.1,3977.7419354838707,68.72455540874049,4015.0
2,0.7,0.2,4002.7419354838707,20.28294479266673,4015.0
2,0.7,0.3,3990.0,34.18089134784716,4015.0
2,0.7,0.5,3896.935483870968,89.82090902971709,4015.0
2,0.9,0.01,3520.967741935484,325.78474323505566,4015.0
2,0.9,0.05,3839.1935483870966,269.56785408685,4015.0
2,0.9,0.1,3993.548387096774,31.994623204196255,4015.0
2,0.9,0.2,4007.9032258064517,9.016114605562874,4015.0
2,0.9,0.3,3985.8064516129034,34.59520135783641,4015.0
2,0.9,0.5,3892.4193548387098,73.86779821345178,4015.0
2,1.0,0.01,3568.2258064516127,342.63816771996466,4015.0
2,1.0,0.05,3819.032258064516,282.21864855356,4015.0
2,1.0,0.1,3999.6774193548385,33.3400530861147,4015.0
2,1.0,0.2,4005.3225806451615,8.749807985604367,4015.0
2,1.0,0.3,3985.967741935484,37.47041843994422,4015.0
