problemIndex,crossoverProbability,mutationProbability,mean_fitness,std_fitness,problem.optimalValue
0,0.1,0.01,3551.6129032258063,438.84011343687615,3800.0
0,0.1,0.05,3800.0,0.0,3800.0
0,0.1,0.1,3800.0,0.0,3800.0
0,0.1,0.2,3800.0,0.0,3800.0
0,0.1,0.3,3800.0,0.0,3800.0
0,0.1,0.5,3800.0,0.0,3800.0
0,0.3,0.01,3525.8064516129034,466.1671673949049,3800.0
0,0.3,0.05,3800.0,0.0,3800.0
0,0.3,0.1,3800.0,0.0,3800.0
0,0.3,0.2,3800.0,0.0,3800.0
0,0.3,0.3,3800.0,0.0,3800.0
0,0.3,0.5,3800.0,0.0,3800.0
0,0.5,0.01,3567.7419354838707,448.24628407025926,3800.0
0,0.5,0.05,3800.0,0.0,3800.0
0,0.5,0.1,3800.0,0.0,3800.0
0,0.5,0.2,3800.0,0.0,3800.0
0,0.5,0.3,3800.0,0.0,3800.0
0,0.5,0.5,3800.0,0.0,3800.0
0,0.7,0.01,3412.9032258064517,566.1224458153148,3800.0
0,0.7,0.05,3800.0,0.0,3800.0
0,0.7,0.1,3800.0,0.0,3800.0
0,0.7,0.2,3800.0,0.0,3800.0
0,0.7,0.3,3800.0,0.0,3800.0
0,0.7,0.5,3800.0,0.0,3800.0
0,0.9,0.01,3464.516129032258,519.3254516497171,3800.0
0,0.9,0.05,3800.0,0.0,3800.0
0,0.9,0.1,3800.0,0.0,3800.0
0,0.9,0.2,3800.0,0.0,3800.0
0,0.9,0.3,3800.0,0.0,3800.0
0,0.9,0.5,3800.0,0.0,3800.0
0,1.0,0.01,3509.6774193548385,499.56970732132896,3800.0
0,1.0,0.05,3800.0,0.0,3800.0
0,1.0,0.1,3800.0,0.0,3800.0
0,1.0,0.2,3800.0,0.0,3800.0
0,1.0,0.3,3800.0,0.0,3800.0
0,1.0,0.5,3800.0,0.0,3800.0
1,0.1,0.01,8077.78064516129,569.5976360082935,8706.1
1,0.1,0.05,8396.448387096774,138.03585010416157,8706.1
1,0.1,0.1,8503.635483870969,186.7706785488331,8706.1
1,0.1,0.2,8706.1,0.0,8706.1
1,0.1,0.3,8706.1,0.0,8706.1
1,0.1,0.5,8706.1,0.0,8706.1
1,0.3,0.01,8295.241935483871,188.71911892932945,8706.1
1,0.3,0.05,8380.4,116.6617589443945,8706.1
1,0.3,0.1,8491.725806451614,185.19452649892625,8706.1
1,0.3,0.2,8706.1,0.0,8706.1
1,0.3,0.3,8706.1,0.0,8706.1
1,0.3,0.5,8706.1,0.0,8706.1
1,0.5,0.01,8191.890322580644,355.752598823807,8706.1
1,0.5,0.05,8372.629032258064,110.95831707912821,8706.1
1,0.5,0.1,8408.35806451613,148.27428811540165,8706.1
1,0.5,0.2,8706.1,0.0,8706.1
1,0.5,0.3,8706.1,0.0,8706.1
1,0.5,0.5,8706.1,0.0,8706.1
1,0.7,0.01,8082.067741935484,567.1248400996595,8706.1
1,0.7,0.05,8384.53870967742,125.81490552241029,8706.1
1,0.7,0.1,8420.267741935484,156.91875687139702,8706.1
1,0.7,0.2,8706.1,0.0,8706.1
1,0.7,0.3,8706.1,0.0,8706.1
1,0.7,0.5,8706.1,0.0,8706.1
1,0.9,0.01,8016.6,629.8252164952855,8706.1
1,0.9,0.05,8360.71935483871,92.20069927194997,8706.1
1,0.9,0.1,8467.906451612902,179.5690803664593,8706.1
1,0.9,0.2,8704.293548387099,10.057896913499713,8706.1
1,0.9,0.3,8706.1,0.0,8706.1
1,0.9,0.5,8706.1,0.0,8706.1
1,1.0,0.01,8090.435483870968,583.9897336702571,8706.1
1,1.0,0.05,8384.53870967742,125.81490552241011,8706.1
1,1.0,0.1,8455.996774193549,175.4405036546031,8706.1
1,1.0,0.2,8682.28064516129,92.20069927195,8706.1
1,1.0,0.3,8706.1,0.0,8706.1
1,1.0,0.5,8706.1,0.0,8706.1
2,0.1,0.01,3806.1290322580644,298.3781428473479,4015.0
2,0.1,0.05,4007.4193548387098,18.387992809708503,4015.0
2,0.1,0.1,4014.3548387096776,2.4973103811470336,4015.0
2,0.1,0.2,4015.0,0.0,4015.0
2,0.1,0.3,4015.0,0.0,4015.0
2,0.1,0.5,3999.8387096774195,18.096218341951204,4015.0
2,0.3,0.01,3768.3870967741937,297.07290658684616,4015.0
2,0.3,0.05,4009.1935483870966,12.048289933537497,4015.0
2,0.3,0.1,4014.3548387096776,2.497310381147011,4015.0
2,0.3,0.2,4015.0,0.0,4015.0
2,0.3,0.3,4015.0,0.0,4015.0
2,0.3,0.5,3999.1935483870966,21.56759815840827,4015.0
2,0.5,0.01,3761.451612903226,274.23892730119815,4015.0
2,0.5,0.05,4000.0,35.33176097130367,4015.0
2,0.5,0.1,4013.7096774193546,3.4077710054824095,4015.0
2,0.5,0.2,4015.0,0.0,4015.0
2,0.5,0.3,4015.0,0.0,4015.0
2,0.5,0.5,3993.548387096774,25.534080114854902,4015.0
2,0.7,0.01,3774.8387096774195,291.0741139039098,4015.0
2,0.7,0.05,4002.5806451612902,22.093399004451427,4015.0
2,0.7,0.1,4014.6774193548385,1.7960530202677434,4015.0
2,0.7,0.2,4015.0,0.0,4015.0
2,0.7,0.3,4014.6774193548385,1.7960530202677465,4015.0
2,0.7,0.5,3991.935483870968,22.681762841353443,4015.0
2,0.9,0.01,3702.9032258064517,327.42880700377293,4015.0
2,0.9,0.05,4006.935483870968,32.18895823505419,4015.0
2,0.9,0.1,4014.6774193548385,1.796053020267757,4015.0
2,0.9,0.2,4015.0,0.0,4015.0
2,0.9,0.3,4014.3548387096776,2.497310381147097,4015.0
2,0.9,0.5,3992.0967741935483,24.14450225718707,4015.0
2,1.0,0.01,3759.516129032258,297.94953386636274,4015.0
2,1.0,0.05,3978.8709677419356,129.2459520798707,4015.0
2,1.0,0.1,4015.0,0.0,4015.0
2,1.0,0.2,4015.0,0.0,4015.0
2,1.0,0.3,4015.0,0.0,4015.0
2,1.0,0.5,3988.3870967741937,25.638093298000708,4015.0
3,0.1,0.01,5180.1612903225805,702.2398496607929,6120.0
3,0.1,0.05,5918.387096774193,249.7745219752346,6120.0
3,0.1,0.1,6116.774193548387,5.40807838589252,6120.0
3,0.1,0.2,6116.451612903225,6.081878600549991,6120.0
3,0.1,0.3,6095.806451612903,23.20548692994645,6120.0
3,0.1,0.5,5963.387096774193,62.281445829586126,6120.0
3,0.3,0.01,5013.064516129032,717.6717882841185,6120.0
3,0.3,0.05,5861.290322580645,426.7277972000721,6120.0
3,0.3,0.1,6116.129032258064,7.1542152399075265,6120.0
3,0.3,0.2,6117.741935483871,4.973045625740636,6120.0
3,0.3,0.3,6098.387096774193,25.442323556565785,6120.0
3,0.3,0.5,5959.354838709677,70.00883200811012,6120.0
3,0.5,0.01,5077.580645161291,669.2954890128152,6120.0
3,0.5,0.05,5902.580645161291,425.2526130974816,6120.0
3,0.5,0.1,6107.741935483871,22.016611519389095,6120.0
3,0.5,0.2,6112.903225806452,16.77171197524711,6120.0
3,0.5,0.3,6099.677419354839,25.623409995255255,6120.0
3,0.5,0.5,5932.741935483871,72.35144216113238,6120.0
3,0.7,0.01,5001.290322580645,722.1991504448241,6120.0
3,0.7,0.05,5741.774193548387,641.6872919461325,6120.0
3,0.7,0.1,6114.193548387097,10.885523582075049,6120.0
3,0.7,0.2,6116.129032258064,8.436989729691778,6120.0
3,0.7,0.3,6089.677419354839,27.626541702710583,6120.0
3,0.7,0.5,5967.741935483871,85.26271859843376,6120.0
3,0.9,0.01,4923.387096774193,771.8434503368911,6120.0
3,0.9,0.05,5955.322580645161,415.1644964827615,6120.0
3,0.9,0.1,6104.5161290322585,23.500171584823256,6120.0
3,0.9,0.2,6110.322580645161,19.405131789940288,6120.0
3,0.9,0.3,6090.645161290323,23.513894313925736,6120.0
3,0.9,0.5,5962.096774193548,76.70043669528414,6120.0
3,1.0,0.01,5117.419354838709,654.8229671289562,6120.0
3,1.0,0.05,5920.322580645161,249.47256189766628,6120.0
3,1.0,0.1,6111.612903225807,15.936702752566307,6120.0
3,1.0,0.2,6111.290322580645,18.572728301440765,6120.0
3,1.0,0.3,6102.580645161291,18.967997950141218,6120.0
3,1.0,0.5,5946.612903225807,78.34099710851902,6120.0
4,0.1,0.01,11410.322580645161,825.2241468068648,12400.0
4,0.1,0.05,12300.967741935483,168.13397116009756,12400.0
4,0.1,0.1,12373.548387096775,51.41649457108587,12400.0
4,0.1,0.2,12357.41935483871,44.718955111189075,12400.0
4,0.1,0.3,12214.838709677419,81.31711454718229,12400.0
4,0.1,0.5,11775.483870967742,155.84904469127449,12400.0
4,0.3,0.01,11502.258064516129,725.8533354033234,12400.0
4,0.3,0.05,12294.838709677419,172.3150403136056,12400.0
4,0.3,0.1,12373.870967741936,34.12500738508769,12400.0
4,0.3,0.2,12370.322580645161,28.807854365055974,12400.0
4,0.3,0.3,12232.258064516129,69.17175133532268,12400.0
4,0.3,0.5,11763.548387096775,161.6075160607075,12400.0
4,0.5,0.01,11436.935483870968,737.2569400818992,12400.0
4,0.5,0.05,12269.354838709678,188.89036474228402,12400.0
4,0.5,0.1,12382.258064516129,20.60900732193793,12400.0
4,0.5,0.2,12366.451612903225,26.900853406137394,12400.0
4,0.5,0.3,12227.41935483871,72.52437484209389,12400.0
4,0.5,0.5,11791.612903225807,198.0378208692059,12400.0
4,0.7,0.01,11275.0,798.8053580190863,12400.0
4,0.7,0.05,12311.129032258064,167.45004069582143,12400.0
4,0.7,0.1,12380.322580645161,22.874129632657155,12400.0
4,0.7,0.2,12365.483870967742,30.6418787149678,12400.0
4,0.7,0.3,12222.41935483871,82.61225663445231,12400.0
4,0.7,0.5,11762.41935483871,163.04841289088512,12400.0
4,0.9,0.01,11387.741935483871,794.7052270178315,12400.0
4,0.9,0.05,12308.548387096775,162.88643051927878,12400.0
4,0.9,0.1,12368.387096774193,29.222910440673854,12400.0
4,0.9,0.2,12362.58064516129,33.263367431804355,12400.0
4,0.9,0.3,12236.774193548386,88.43593148994725,12400.0
4,0.9,0.5,11770.645161290322,179.71617407959292,12400.0
4,1.0,0.01,11331.290322580646,768.9668043788099,12400.0
4,1.0,0.05,12147.741935483871,367.3845367587787,12400.0
4,1.0,0.1,12370.0,26.83281572999761,12400.0
4,1.0,0.2,12361.612903225807,32.259032243548724,12400.0
4,1.0,0.3,12200.967741935483,102.57045834318558,12400.0
4,1.0,0.5,11804.838709677419,125.52213530534327,12400.0
5,0.1,0.01,9941.935483870968,700.0964188588057,10618.0
5,0.1,0.05,10353.225806451614,462.3588584406005,10618.0
5,0.1,0.1,10524.225806451614,66.51150761455696,10618.0
5,0.1,0.2,10464.774193548386,67.03865038290454,10618.0
5,0.1,0.3,10335.09677419355,58.54249444560751,10618.0
5,0.1,0.5,10118.193548387097,69.6603279515866,10618.0
5,0.3,0.01,9880.064516129032,702.9200492936055,10618.0
5,0.3,0.05,10443.354838709678,105.06237778484967,10618.0
5,0.3,0.1,10515.129032258064,72.75151404403174,10618.0
5,0.3,0.2,10469.741935483871,38.33881213768922,10618.0
5,0.3,0.3,10333.161290322581,68.68483421842784,10618.0
5,0.3,0.5,10086.064516129032,100.7977961015257,10618.0
5,0.5,0.01,9996.451612903225,637.1289162437832,10618.0
5,0.5,0.05,10401.09677419355,340.97745329554294,10618.0
5,0.5,0.1,10517.870967741936,73.84792569214292,10618.0
5,0.5,0.2,10464.451612903225,47.23969990708897,10618.0
5,0.5,0.3,10328.225806451614,68.15164936982772,10618.0
5,0.5,0.5,10137.483870967742,94.52684661609557,10618.0
5,0.7,0.01,10017.774193548386,613.2522433538214,10618.0
5,0.7,0.05,10368.032258064517,453.22404201240727,10618.0
5,0.7,0.1,10529.322580645161,56.70825166103847,10618.0
5,0.7,0.2,10492.58064516129,47.08132976991219,10618.0
5,0.7,0.3,10350.354838709678,59.69508544098465,10618.0
5,0.7,0.5,10140.225806451614,86.97383118977774,10618.0
5,0.9,0.01,10028.41935483871,664.9876577397782,10618.0
5,0.9,0.05,10500.09677419355,90.10340535137374,10618.0
5,0.9,0.1,10523.129032258064,55.8961787217957,10618.0
5,0.9,0.2,10485.870967741936,46.060642588862514,10618.0
5,0.9,0.3,10354.870967741936,67.72234586185176,10618.0
5,0.9,0.5,10110.161290322581,112.0280014919466,10618.0
5,1.0,0.01,10093.387096774193,561.8332301445187,10618.0
5,1.0,0.05,10408.516129032258,330.0971443850779,10618.0
5,1.0,0.1,10512.387096774193,98.28145888869524,10618.0
5,1.0,0.2,10474.09677419355,53.744056935757726,10618.0
5,1.0,0.3,10358.483870967742,73.73731347051803,10618.0
5,1.0,0.5,10106.806451612903,102.55516218271269,10618.0
6,0.1,0.01,15432.870967741936,788.6793916387687,16537.0
6,0.1,0.05,16157.806451612903,550.3964885640677,16537.0
6,0.1,0.1,16338.483870967742,247.53624259459357,16537.0
6,0.1,0.2,16216.677419354839,67.69804876399033,16537.0
6,0.1,0.3,15978.90322580645,96.52369479000473,16537.0
6,0.1,0.5,15544.129032258064,201.1198219860461,16537.0
6,0.3,0.01,15294.41935483871,802.7982218130758,16537.0
6,0.3,0.05,16062.322580645161,601.7619344944077,16537.0
6,0.3,0.1,16408.451612903227,71.02996490199371,16537.0
6,0.3,0.2,16213.225806451614,67.91990855776083,16537.0
6,0.3,0.3,16023.806451612903,99.64651502681525,16537.0
6,0.3,0.5,15515.451612903225,149.0614724891888,16537.0
6,0.5,0.01,15253.290322580646,663.0598863626315,16537.0
6,0.5,0.05,16072.774193548386,534.9695137530375,16537.0
6,0.5,0.1,16284.0,344.5327270376503,16537.0
6,0.5,0.2,16225.806451612903,57.98472175486615,16537.0
6,0.5,0.3,15997.290322580646,96.70511656521825,16537.0
6,0.5,0.5,15499.483870967742,213.3794540199442,16537.0
6,0.7,0.01,15201.774193548386,788.1223555462873,16537.0
6,0.7,0.05,16141.193548387097,460.88541015128976,16537.0
6,0.7,0.1,16323.451612903225,265.5750789901894,16537.0
6,0.7,0.2,16222.322580645161,67.49093129044562,16537.0
6,0.7,0.3,16002.322580645161,106.65689135315318,16537.0
6,0.7,0.5,15510.09677419355,170.53237323916161,16537.0
6,0.9,0.01,15296.741935483871,800.0478722235705,16537.0
6,0.9,0.05,15998.967741935483,560.3389143408939,16537.0
6,0.9,0.1,16286.129032258064,313.5465666569572,16537.0
6,0.9,0.2,16224.935483870968,74.61498307260229,16537.0
6,0.9,0.3,16013.41935483871,103.46070886848737,16537.0
6,0.9,0.5,15560.483870967742,173.94824344571424,16537.0
6,1.0,0.01,15130.161290322581,801.4698620565505,16537.0
6,1.0,0.05,16083.387096774193,521.3294976895997,16537.0
6,1.0,0.1,16363.258064516129,166.2211313766364,16537.0
6,1.0,0.2,16218.548387096775,72.84771271160025,16537.0
6,1.0,0.3,15985.967741935483,105.65746033636822,16537.0
6,1.0,0.5,15571.09677419355,159.84687565265054,16537.0
